code,name_x,atomic_number,atomic_mass_x,crm_2014,crm_2017,crm_2020,crm_2023,atomic_mass_y,name_y,density,abundance (mg/kg),price (USD/kg),price_year,price_source,price_comment
Ac,actinium,89,227.0,False,False,False,False,,,,,,,,
Ag,silver,47,107.8682,False,False,False,False,47.0,Silver,10.501,0.075 (2.0775×1015 kg),521.0,2019,Preismonitor[20][g],99.5% pure. Spot price. At London Metal Exchange warehouse.
Al,aluminum,13,26.981538,False,False,False,False,13.0,Aluminium,2.698,82300 (2.28×1021 kg),1.79,2019,Preismonitor[20][g],"High-grade primary aluminium, at London Metal Exchange warehouse."
Am,americium,95,243.0,False,False,False,False,,,,,,,,
Ar,argon,18,39.948,False,False,False,False,18.0,Argon,0.0017837,3.5 (9.695×1016 kg),0.931,2019,UNLV[31],"Liquid argon supply contract for University of Nevada, Las Vegas."
As,arsenic,33,74.9216,False,False,False,True,33.0,Arsenic,5.776,1.8 (4.986×1016 kg),1.0,2020,SMM[40][d],Min. 99.5% pure.
At,astatine,85,210.0,False,False,False,False,,,,,,,,
Au,gold,79,196.96655,False,False,False,False,79.0,Gold,19.282,0.004 (1.108×1014 kg),44800.0,2019,Preismonitor[20][g],99.9% pure. Morning London gold fix.
B,boron,5,10.811,False,False,False,True,5.0,Boron,2.34,10 (2.77×1017 kg),3.68,2019,CEIC Data[18][f],"In the form of boric acid, price per boron contained. Min. 99% pure."
Ba,barium,56,137.327,False,False,False,False,,,,,,,,
Be,beryllium,4,9.012182,True,True,True,True,4.0,Beryllium,1.85,2.8 (7.756×1016 kg),857.0,2020,ISE 2020[17][e],Min. 99% pure.
Bh,bohrium,107,264.0,False,False,False,False,,,,,,,,
Bi,bismuth,83,208.98038,False,True,True,True,83.0,Bismuth,9.807,0.009 (2.493×1014 kg),6.36,2019,Preismonitor[20][g],"Refined bismuth, min. 99.99% pure."
Bk,berkelium,97,247.0,False,False,False,False,,,,,,,,
Br,bromine,35,79.904,False,False,False,False,35.0,Bromine,3.122,2.4 (6.648×1016 kg),4.39,2019,CEIC Data[18][f],
C,carbon,6,12.0107,False,False,False,False,6.0,Carbon,2.267,200 (5.54×1018 kg),0.122,2018,EIA Coal[19],"In the form of anthracite, price per carbon contained, assuming 90% carbon content. There is a wide variation of price of carbon depending on its form. Lower ranks of coal can be less expensive, for example sub-bituminous coal can cost around US$0.038/kg carbon.[19] Graphite flakes can cost around US$0.9/kg carbon.[20] Price of synthetic industrial diamond for grinding and polishing can range from 1200 to 13300 USD/kg, while cost per weight of large synthetic diamonds for industrial applications can be on the order of million dollars per kilogram.[21]"
Ca,calcium,20,40.078,False,False,False,False,20.0,Calcium,1.54,41500 (1.15×1021 kg),2.2,2020,SMM[33][d],Blocks of 98.5% pure calcium obtained by reduction process.
Cd,cadmium,48,112.411,False,False,False,False,48.0,Cadmium,8.69,0.159 (4.4043×1015 kg),2.73,2019,Preismonitor[20][g],"Ingot, min. 99.99% pure."
Ce,cerium,58,140.116,True,True,True,True,,,,,,,,
Cf,californium,98,251.0,False,False,False,False,,,,,,,,
Cl,chlorine,17,35.453,False,False,False,False,17.0,Chlorine,0.003214,145 (4.075×1018 kg),0.082,2013,CnAgri[29],"As chlorine is manufactured together with sodium hydroxide in chloralkali process, relative demand for one product changes the price for the other. When demand for sodium hydroxide is relatively high, chlorine price can fall to arbitrarily low levels, even to zero.[30]"
Cm,curium,96,247.0,False,False,False,False,,,,,,,,
Cn,copernicium,112,285.0,False,False,False,False,,,,,,,,
Co,cobalt,27,58.9332,True,True,True,True,27.0,Cobalt,8.86,25 (6.925×1017 kg),32.8,2019,Preismonitor[20][g],Spot price. Min. 99.8% pure. At London Metal Exchange warehouse.
Cr,chromium,24,51.9961,True,False,False,False,24.0,Chromium,7.15,102 (2.825×1018 kg),9.4,2019,Preismonitor[20][g],Min. 99.2% pure.
Cs,cesium,55,132.90545,False,False,False,False,,,,,,,,
Cu,copper,29,63.546,False,False,False,True,29.0,Copper,8.96,60 (1.662×1018 kg),6.0,2019,Preismonitor[20][g],Spot price. Grade A.[38] At London Metal Exchange warehouse.
Db,dubnium,105,262.0,False,False,False,False,,,,,,,,
Ds,darmstadtium,110,281.0,False,False,False,False,,,,,,,,
Dy,dysprosium,66,162.5,True,True,True,False,66.0,Dysprosium,8.55,5.2 (1.4404×1017 kg),307.0,2019,Preismonitor[20][g],"Min. 99% pure, Free on Board China."
Er,erbium,68,167.259,True,True,True,False,68.0,Erbium,9.066,3.5 (9.695×1016 kg),26.4,2020,ISE 2020[34][h],Min. 99.5% pure.
Es,einsteinium,99,252.0,False,False,False,False,,,,,,,,
Eu,europium,63,151.964,True,True,True,True,63.0,Europium,5.243,2 (5.54×1016 kg),31.4,2020,ISE 2020[34][h],Min. 99.999% pure.
F,fluorine,9,18.9984032,False,False,False,False,9.0,Fluorine,0.001696,585 (1.62×1019 kg),2.0,2017,Echemi[25],"In the form of anhydrous hydrofluoric acid, price per fluorine contained. Range of prices on Chinese market, week of 1–7 December 2017."
Fe,iron,26,55.845,False,False,False,False,26.0,Iron,7.874,56300 (1.565×1021 kg),0.424,2020,SMM[37][d],"L8-10 pig iron. At Tangshan, China."
Fl,flerovium,114,289.0,False,False,False,False,,,,,,,,
