reference product,prod_category,prod_sub_category,ISIC_name,ISIC,CPC_name,CPC,code_EI
"anode slime from electrorefining of copper, anode",MetalAlloy,"Basic metals & alloys, their semi-finished products",Manufacture of basic precious and other non-ferrous metals,2420," Metal products, machinery and equipment",4,cbc887f4f586f861e5f967e834db7fe6
brass,MetalAlloy,"Basic metals & alloys, their semi-finished products",Manufacture of basic precious and other non-ferrous metals,2420," Metal products, machinery and equipment",4,e940b853fb56d0af06d1cc7e8fb05433
bronze,MetalAlloy,"Basic metals & alloys, their semi-finished products",Manufacture of basic precious and other non-ferrous metals,2420," Metal products, machinery and equipment",4,61c877a3439966b09531ca84ed90eac2
"stockpiling of anode slime from electrorefining of copper, anode",MetalAlloy,"Basic metals & alloys, their semi-finished products",Manufacture of basic precious and other non-ferrous metals,2420," Metal products, machinery and equipment",4,6acbf15b7304dae39d713c4dd5eba4c6
shale,OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810," Stone, sand and clay",15,91cffc61e089041076f890d62110aa49
supplementary cementitious materials,OreMinFuel,"Ores, minerals & fuels","Manufacture of cement, lime and plaster",2394," Stone, sand and clay",15,613cd15671d589706c8f3e0a46023005
"laterite, mineral",OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810, Other minerals,16,b9e3b059eafefdefc4997bf996fb7241
petroleum coke,OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920, Coke oven products; refined petroleum products; nuclear fuel,33,9fa1fe3b8561283e642686bc0236df43
"boric acid, anhydrous, powder",Chemical,Chemical products,Mining of chemical and fertilizer minerals,891, Basic chemicals,34,bcb0f4cd2bf6e815e25ebdce72991b8d
copper carbonate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,627d13a51727f0c7a45580e814b70455
cryolite,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,01b4da1473f4bccf0fea6ed0e9a0e8d7
de-icer,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,20e54a19299a1af83ecaaec5b2b2841b
"deinking emulsion, in paper production",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,0651f6b0e14a638247bacc66c960b61f
diborane,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,e7eb557912a1d3a6cff05fa744947b62
dimethyl sulfate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,7e2370c0c7e41b3d337336ef9c544cac
"DTPA, diethylenetriaminepentaacetic acid",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,5caa89046141496b764515b5340d989a
"EDTA, ethylenediaminetetraacetic acid",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,b909cd539bf87a82d56d576becaddf3a
ethane,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,bc29683e7e20d4a4beb70cf3a5876b9b
"ethanol, without water, in 99.7% solution state, from ethylene",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,a627d6fed29d973eaa6be23876a7921b
glycine,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,5f2b44eec17443aa46ba6abc1fe4d1b9
"hydrochloric acid, without water, in 30% solution state",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,47c16435820ce2ce5e96bc7d6f72abd3
imidazole,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,45a970368e7819e326c008b946902bf7
"krypton, gaseous",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,e61492df85233b6620f8b1fc12203e9c
"lithium brine, 6.7 % Li",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,059239b4fac34411d3773e229685fcbb
lithium manganese oxide,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,91513097ae119ee9a7bdd38e53a87a63
"optical brighteners, for paper production",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,8c2b44a2e4ac66490c8b84223105ba87
p-nitrophenol,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,67e90ea32a72de6d8aa2aa21992f1b23
perfluoropentane,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,fbb576f99f50769bd7434fa7c337ca74
"phosgene, liquid",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,d3de18da42847f322dacf290a5e27243
"pitch despergents, in paper production",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,32e2b5aee86583dcac32057935169ac3
refrigerant R134a,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,be181fee80539e30fb49396069bd1b6d
"retention aid, for paper production",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,fa05101b00e3203275364f378e745519
"silicon, single crystal, Czochralski process, photovoltaics",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,8db867b439c4769bc88612740ef63bf0
sodium methoxide,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,911f9150dfa01e8292bb5cb55a9367f1
sulfite,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic chemicals,34,61235e756a4da52af9a3cc5464d04201
