
.	.	.	.	Boron
.	Chromium	.	.	.
Cobalt	Cobalt	Cobalt	Cobalt	Cobalt
.	.	.	.	Copper
.	Coking coal	Coking coal	Coking coal	Coking coal
.	.	.	.	Feldspar
Fluorspar	Fluorspar	Fluorspar	Fluorspar	Fluorspar
Gallium	Gallium	Gallium	Gallium	Gallium
Germanium	Germanium	Germanium	Germanium	Germanium
Graphite	Graphite	Graphite	Graphite	Graphite
.	.	Hafnium	Hafnium	Hafnium
.	.	Helium	.	Helium
Indium	Indium	Indium	Indium	Indium
.	.	.	Lithium	Lithium
.	Magnesite	.	.	.
Magnesium	Magnesium	Magnesium	Magnesium	Magnesium
.	.	.	.	Manganese
.	.	Natural rubber	Natural rubber	.
.	.	.	.	Nickel
Niobium	Niobium	Niobium	Niobium	Niobium
Platinum group metals	Platinum group metals	Platinum group metals	Platinum group metals	Platinum group metals
.	Phosphate rock	Phosphate rock	Phosphate rock	Phosphate rock
.	.	Phosphorus	Phosphorus	Phosphorus
Scandium	.	Scandium	Scandium	Scandium
.	Silicon	Silicon	Silicon	Silicon
.	.	.	Strontium	Strontium
Tantalum	.	Tantalum	Tantalum	Tantalum
.	.	.	Titanium	Titanium
Rare earth	Light rare earth	Light rare earth	Light rare earth	Light rare earth
Heavy rare earth	Heavy rare earth	Heavy rare earth	Heavy rare earth
Tungsten	Tungsten	Tungsten	Tungsten	Tungsten
.	.	Vanadium	Vanadium	Vanadium
